step,episode,reward,model_loss,actor_loss,critic_loss
100,0,-5.611510791366885,48.86255895614624,1.8620840621262322,0.44429786518216136
200,0,-11.223021582733733,18.09255500793457,5.073730337619781,0.3587069014459848
300,0,-16.834532374100586,12.428949670791626,5.327933011054992,0.29041612323373556
400,0,-36.83453237410087,11.296017389297486,11.996385684013367,1.1345366555452348
500,1,0.0,9.469711637496948,10.572784156799317,1.3845472580194473
600,1,-5.5072463768115565,8.052818155288696,9.778169355392457,3.528310914039612
700,1,-25.507246376811654,7.16520998954773,-13.090353951565922,7.319712433815003
800,1,-27.39130434782643,7.089973921775818,-7.191691044140607,6.373796701431274
900,1,-47.39130434782671,7.2435691976547245,1.1064438862691168,2.6498940420150756
1000,2,0.0,6.924151630401611,8.384189476966858,3.3182490062713623
1100,2,-6.254295532646026,6.408831186294556,7.4040645360946655,1.984649226665497
